지역,HL_Score,HL정책비교순위,HL정책검토등급,HL정책순위포함여부,HL비교가능성,HL산출유형,월환산주거비,월환산주거비_평균값_만원,전체거래건수,HL주거표본판정,HL데이터주의사항,생활인프라점수,2030선호시설점수,교통접근성점수,주거가성비점수,HL취약유형,HL취약요인수,HL주요취약요인,HL정책검토방향,2030인구수,2030인구비율,생활시설_1000명당,버스정류소_1000명당,선호시설_1000명당,가장가까운_버스정류소_m,생활시설_상대부족,교통_상대부족,선호시설_상대부족,2030인구_TOP10,수요대비인프라후보,수요대비우선후보,수요대비부족분야,두분석_동시신호,최종정책유형,정책근거요약,통합정책제안,청년공공시설수,청년공공시설_1000명당,청년공공시설_0개,공공시설_상대부족,공공지원_점검후보,공공지원인프라_상태,통합지원형_수,취업지원형_수,창업지원형_수,프로그램운영형_수,기타공간_수,공공지원_보조근거,공공지원_정책검토방향,정책_공공지원_통합신호,공공시설_HL반영여부,공공시설지표_역할
북구 용봉동,64.3,4.0,일반 관찰,True,정상,4개 영역 전체 반영,41.64,41.64,104,정상,,51.1,72.0,75.4,65.5,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,10520,29.53,90.02,10.65,16.92,101.5,True,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설",False,청년수요 대응 우선,"2030 청년 수요가 큰 반면 생활 인프라, 교통, 청년 선호시설 공급 수준이 상대적으로 낮은 지역.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검,3,0.285,False,True,True,청년인구 대비 상대부족,0,2,0,0,1,"청년 공공시설은 3개이나 2030 인구 1,000명당 0.285개로, 청년 인구 규모를 고려할 때 공공지원 인프라가 상대적으로 부족한 지역.",청년 인구 규모를 고려한 청년지원시설 공급 확대 및 기존 시설의 수용능력·접근성 점검,기존 정책신호 + 공공지원 부족,False,HL-Score 미반영 / 정책지원 인프라 보조지표
광산구 수완동,75.6,1.0,일반 관찰,True,정상,4개 영역 전체 반영,25.84,25.84,414,정상,,65.2,70.3,58.0,99.1,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,16643,23.14,72.64,4.21,11.96,46.9,True,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설",False,청년수요 대응 우선,"2030 청년 수요가 큰 반면 생활 인프라, 교통, 청년 선호시설 공급 수준이 상대적으로 낮은 지역.",생활SOC·의료·편의·문화시설 공급 및 접근성 점검 · 노선 수·배차간격을 포함한 대중교통 서비스 수준 점검,4,0.24,False,True,True,청년인구 대비 상대부족,0,0,0,2,2,"청년 공공시설은 4개이나 2030 인구 1,000명당 0.240개로, 청년 인구 규모를 고려할 때 공공지원 인프라가 상대적으로 부족한 지역.",청년 인구 규모를 고려한 청년지원시설 공급 확대 및 기존 시설의 수용능력·접근성 점검,기존 정책신호 + 공공지원 부족,False,HL-Score 미반영 / 정책지원 인프라 보조지표
남구 봉선2동,45.5,17.0,관심 검토,True,정상,4개 영역 전체 반영,65.99,65.99,35,정상,,54.8,57.4,70.7,13.6,주거 취약형,1,주거가성비,청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,4388,16.19,298.31,19.37,26.44,27.2,False,False,False,False,False,False,상대부족 없음,False,주거환경 관심 검토,HL-Score 분석에서 주거가성비 부문의 추가 점검 필요성이 확인된 지역.,청년 주거비 부담 완화 및 공공임대 연계 가능성 검토,5,1.139,False,False,False,상대적으로 양호,1,0,0,0,4,"청년 공공시설 5개, 2030 인구 1,000명당 1.139개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,기존 정책신호,False,HL-Score 미반영 / 정책지원 인프라 보조지표
동구 학동,45.9,16.0,관심 검토,True,정상,4개 영역 전체 반영,70.83,70.83,50,정상,,62.1,58.1,78.5,3.3,주거 취약형,1,주거가성비,청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,1639,23.58,493.59,63.45,79.32,48.1,False,False,False,False,False,False,상대부족 없음,False,주거환경 관심 검토,HL-Score 분석에서 주거가성비 부문의 추가 점검 필요성이 확인된 지역.,청년 주거비 부담 완화 및 공공임대 연계 가능성 검토,1,0.61,False,False,False,상대적으로 양호,0,0,0,0,1,"청년 공공시설 1개, 2030 인구 1,000명당 0.610개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,기존 정책신호,False,HL-Score 미반영 / 정책지원 인프라 보조지표
동구 계림1동,52.1,14.0,일반 관찰,True,정상,4개 영역 전체 반영,72.36,72.36,24,정상,,67.5,73.1,90.5,0.0,주거 취약형,1,주거가성비,청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,2635,27.14,540.8,56.55,260.72,100.3,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 주거비 부담 완화 및 공공임대 연계 가능성 검토,0,0.0,True,True,False,시설 없음,0,0,0,0,0,분석대상 행정동 내 청년 공공시설이 확인되지 않아 공공지원 인프라의 추가 점검이 필요한 지역.,청년지원 공간의 신규 설치 필요성 또는 인접 행정동 시설과의 접근성·연계성 검토,공공시설 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
남구 방림1동,52.3,13.0,일반 관찰,True,저표본 주의,4개 영역 전체 반영,60.42,60.42,7,저표본 주의,주거 거래 5~19건으로 주거비 해석 시 주의 필요,57.6,58.7,85.1,25.4,주거 취약형,1,주거가성비,청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,1255,20.58,788.84,98.8,117.13,67.9,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,"현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역. 단, 주거 실거래 표본이 5~19건으로 주거비 해석에 주의가 필요함.",청년 주거비 부담 완화 및 공공임대 연계 가능성 검토,1,0.797,False,False,False,상대적으로 양호,0,0,0,0,1,"청년 공공시설 1개, 2030 인구 1,000명당 0.797개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
북구 문흥1동,53.5,12.0,일반 관찰,True,정상,4개 영역 전체 반영,45.28,45.28,23,정상,,39.0,67.7,50.3,57.7,생활 취약형,1,생활인프라,생활SOC·의료·편의·문화시설 확충 필요성 검토,2910,20.75,165.64,21.99,28.52,70.5,True,False,False,False,False,False,생활 인프라,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,생활SOC·의료·편의·문화시설 공급 및 접근성 점검,0,0.0,True,True,False,시설 없음,0,0,0,0,0,분석대상 행정동 내 청년 공공시설이 확인되지 않아 공공지원 인프라의 추가 점검이 필요한 지역.,청년지원 공간의 신규 설치 필요성 또는 인접 행정동 시설과의 접근성·연계성 검토,공공시설 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
동구 지산2동,56.3,11.0,일반 관찰,True,정상,4개 영역 전체 반영,33.07,33.07,39,정상,,49.5,28.2,61.9,83.7,청년시설 취약형,1,2030선호시설,청년 문화·운동·생활편의시설 확충 필요성 검토,1132,28.17,674.91,77.74,81.27,108.6,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 문화·운동·생활편의시설 공급 확대 가능성 검토,3,2.65,False,False,False,상대적으로 양호,0,0,0,0,3,"청년 공공시설 3개, 2030 인구 1,000명당 2.650개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
광산구 송정1동,57.5,10.0,일반 관찰,True,정상,4개 영역 전체 반영,31.58,31.58,50,정상,,62.3,34.4,27.4,86.9,교통 취약형,1,교통접근성,버스정류장 및 대중교통 접근성 개선 필요성 검토,2234,23.26,239.48,27.31,13.88,227.1,False,False,True,False,False,False,청년 선호시설,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,노선 수·배차간격을 포함한 대중교통 서비스 수준 점검,2,0.895,False,False,False,상대적으로 양호,0,0,0,0,2,"청년 공공시설 2개, 2030 인구 1,000명당 0.895개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
광산구 첨단1동,58.3,8.0,일반 관찰,True,정상,4개 영역 전체 반영,55.36,55.36,382,정상,,63.8,71.8,69.2,36.2,주거 취약형,1,주거가성비,청년 주거비 지원·공공임대·부담 가능한 주택 공급 필요성 검토,7680,28.82,167.32,11.72,15.23,61.8,False,True,True,True,False,False,"교통, 청년 선호시설",False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 주거비 부담 완화 및 공공임대 연계 가능성 검토,2,0.26,False,True,True,청년인구 대비 상대부족,2,0,0,0,0,"청년 공공시설은 2개이나 2030 인구 1,000명당 0.260개로, 청년 인구 규모를 고려할 때 공공지원 인프라가 상대적으로 부족한 지역.",청년 인구 규모를 고려한 청년지원시설 공급 확대 및 기존 시설의 수용능력·접근성 점검,공공지원 부족 신호,False,HL-Score 미반영 / 정책지원 인프라 보조지표
서구 농성1동,63.6,6.0,일반 관찰,True,정상,4개 영역 전체 반영,47.19,47.19,340,정상,,67.2,59.8,82.4,53.6,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,3176,28.41,248.43,38.41,105.79,81.8,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 인구와 주거환경 변화의 지속 모니터링,3,0.945,False,False,False,상대적으로 양호,0,1,0,0,2,"청년 공공시설 3개, 2030 인구 1,000명당 0.945개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
서구 화정2동,64.3,5.0,일반 관찰,True,저표본 주의,4개 영역 전체 반영,37.4,37.4,15,저표본 주의,주거 거래 5~19건으로 주거비 해석 시 주의 필요,57.1,57.1,70.0,74.5,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,3709,19.55,273.93,28.31,43.14,117.3,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,"현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역. 단, 주거 실거래 표본이 5~19건으로 주거비 해석에 주의가 필요함.",청년 인구와 주거환경 변화의 지속 모니터링,0,0.0,True,True,False,시설 없음,0,0,0,0,0,분석대상 행정동 내 청년 공공시설이 확인되지 않아 공공지원 인프라의 추가 점검이 필요한 지역.,청년지원 공간의 신규 설치 필요성 또는 인접 행정동 시설과의 접근성·연계성 검토,공공시설 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
서구 치평동,69.3,3.0,일반 관찰,True,정상,4개 영역 전체 반영,44.17,44.17,861,정상,,81.9,68.0,64.7,60.1,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,8681,30.18,160.0,9.56,20.16,63.7,True,True,False,True,False,False,"생활 인프라, 교통",False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 인구와 주거환경 변화의 지속 모니터링,5,0.576,False,False,False,상대적으로 양호,1,1,1,0,2,"청년 공공시설 5개, 2030 인구 1,000명당 0.576개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
동구 충장동,75.0,2.0,일반 관찰,True,정상,4개 영역 전체 반영,46.62,46.62,622,정상,,78.3,87.4,87.8,54.9,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,2900,49.29,626.21,46.55,243.1,80.8,False,False,False,False,False,False,상대부족 없음,False,일반 관찰,현재 프로젝트 분석 기준에서는 높은 정책 우선 신호가 확인되지 않은 지역.,청년 인구와 주거환경 변화의 지속 모니터링,7,2.414,False,False,False,상대적으로 양호,2,1,0,0,4,"청년 공공시설 7개, 2030 인구 1,000명당 2.414개로 현재 프로젝트 상대비교에서는 공공지원 인프라 부족 신호가 확인되지 않은 지역.",현재 시설 공급 수준을 유지하면서 이용률과 프로그램 운영성과 지속 모니터링,추가 신호 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
북구 두암2동,52.6,,정책순위 제외,False,제한,주거비 제외·나머지 70% 재가중,17.0,17.0,1,표본부족,주거 거래 5건 미만으로 주거가성비점수 미사용·정책순위 비교 제외 / HL-Score는 참고용 접근성지수 기반,50.4,52.7,56.8,,뚜렷한 취약요인 없음,0,없음,상대적 하위 25%에 해당하는 뚜렷한 취약요인 없음,2737,19.82,204.6,28.13,34.34,94.1,False,False,False,False,False,False,상대부족 없음,False,HL순위 제외,주거 실거래 표본이 5건 미만으로 HL 정책순위 비교에서 제외된 지역. 충분한 주거 거래 표본 확보 후 재평가가 필요함.,주거 실거래 표본 추가 확보 후 HL-Score 재평가,0,0.0,True,True,False,시설 없음,0,0,0,0,0,분석대상 행정동 내 청년 공공시설이 확인되지 않아 공공지원 인프라의 추가 점검이 필요한 지역.,청년지원 공간의 신규 설치 필요성 또는 인접 행정동 시설과의 접근성·연계성 검토,공공시설 없음,False,HL-Score 미반영 / 정책지원 인프라 보조지표
